,Timestamp,0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,50,51,52,53,54,55,56,57,58,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,Heart rate
0,2023-11-30 14-14-00,40.00045,18.1826,9.4627,16.9787,1.51295,1.5566,2.1422,2.15315,1.5586,3483.706,1296.0772,567.93915,13.6859,1.75865,1.70195,2.4427,2.31445,1.70245,2505.5453,3469.3495,3010.69495,37.4972,1.72545,1.7367,17.9239,7.93925,1.66215,516.1314,233.3618,9.1839,3533.80785,18.7731,201.70655,2.4438,70.23835,8.52335,2227.87425,3889.4874,148.65535,3584.7812,1811.13645,9.3756,500.18085,3535.68275,35.4596,3.0958,1.62505,3.28355,35.2539,1.7141,340.05245,6.40015,17.25055,786.7741,2.3938,15.01125,4.0315,12.0777,3.64575,1.66275,1508.57755,131.95875,6.0221,1.3614,1.27465,2.91515,10.5952,1.78285,1.70755,136.77345,184.69585,4.17945,1.35125,1.31485,3.34295,10.1558,1.902,1.677,22.43195,1.6504,90.2352,94.62970528
1,2023-11-30 14-15-00,36.6964,17.59155,9.69065,17.18485,1.48245,1.5372,2.24655,2.0361,1.5599,3475.43725,1299.28345,654.97625,14.0215,1.78875,1.6972,2.329,2.2927,1.64415,2467.0188,3481.40615,3017.51085,36.8914,1.6696,1.72435,17.73105,7.792,1.6437,520.38445,234.1541,9.1809,3531.62345,19.14585,197.88025,2.30835,70.59235,8.3334,2236.44925,3896.06885,147.1241,3586.26255,1798.3392,8.6253,504.1341,3529.85155,35.67145,2.9852,1.6067,3.3747,33.9697,1.6074,333.21875,5.79865,16.8954,775.7486,2.3704,15.2692,3.88215,10.7887,3.7984,1.65195,1503.70835,132.92115,3.77435,1.35205,1.27615,3.1691,10.1105,1.8782,1.6895,137.146,185.19155,4.47165,1.37735,1.3673,3.33175,10.04605,1.68865,1.67695,21.9522,1.6865,89.6433,95
2,2023-11-30 14-16-00,34.57675,17.1185,9.482,16.7419,1.42305,1.5203,2.02315,2.1063,1.54305,3390.1665,1282.47665,625.7972,14.1816,1.77275,1.6981,2.2536,2.2466,1.66375,2431.21775,3490.46585,3020.0984,36.721,1.64735,1.68125,16.681,7.64785,1.61455,516.18125,229.52585,9.4366,3533.78895,18.1154,195.54935,2.411,68.96505,7.9334,2200.367,3902.41595,148.2116,3591.08145,1779.94495,9.12845,501.1514,3496.7695,35.11755,2.8977,1.64935,3.45915,34.5901,1.75785,328.1139,5.3475,16.2083,765.8624,2.3751,14.9974,4.50755,11.76445,3.54235,1.67355,1494.64565,131.6978,3.1048,1.2797,1.33835,3.7869,10.66555,1.7239,1.6906,136.7721,185.9138,4.26375,1.381,1.4004,3.8572,10.9266,1.7516,1.7047,22.41795,1.60945,89.97155,95.62648261
3,2023-11-30 14-17-00,32.3314,16.6872,9.62805,17.16235,1.45405,1.5286,2.2676,2.10865,1.5176,3269.9625,1292.0832,653.60755,13.6871,1.76415,1.70635,2.268,2.252,1.6098,2335.7963,3477.9186,3033.29885,35.2999,1.6215,1.63685,17.15675,7.192,1.6231,498.3183,217.3191,8.969,3525.52935,17.8376,192.5824,2.25435,66.45665,8.0199,2160.54725,3893.0876,146.2685,3584.8001,1754.28475,8.80035,497.423,3464.19975,35.2753,2.78685,1.8477,3.9807,35.3655,1.8454,322.08485,5.26035,15.94235,754.14325,2.4224,14.8532,4.51065,12.88705,3.4083,1.66135,1483.7516,131.11725,3.2916,1.24805,1.53795,4.10315,11.7066,1.85705,1.6906,137.70855,184.4854,4.0557,1.3153,1.59035,3.67745,11.36795,1.7879,1.70735,22.45345,1.59225,89.34615,96.48646199
4,2023-11-30 14-18-00,31.91545,16.53615,8.84865,16.57705,1.5199,1.5556,2.2927,2.1387,1.51435,3171.61575,1284.93905,653.1887,13.60715,1.70345,1.7008,2.1173,2.16885,1.62885,2307.1143,3476.84025,3029.6237,34.5635,1.55675,1.6704,16.79185,7.11355,1.61965,485.7928,211.0518,8.7541,3525.2856,16.3412,189.3296,2.2403,65.08875,7.4818,2138.43375,3897.23135,147.50225,3593.71585,1730.34965,8.69285,492.2839,3432.36125,34.4897,2.85565,1.7844,3.2942,33.826,1.6517,317.1167,5.17355,15.3387,745.2713,2.28295,15.1048,4.07035,11.89025,3.3009,1.6691,1475.5578,129.6149,3.3387,1.2606,1.44065,3.5032,10.8336,1.7324,1.64885,137.8062,183.2118,4.1345,1.2802,1.38885,3.3158,10.39015,1.68945,1.68835,21.93655,1.8247,89.09955,97.53320007
5,2023-11-30 14-19-00,30.0748,16.197,9.1523,16.48915,1.4305,1.52275,2.14545,2.0488,1.5103,3133.66465,1266.9386,549.16345,13.03,1.76685,1.69335,2.10485,2.18805,1.6032,2272.00675,3483.0593,3023.91425,34.14725,1.57615,1.6649,16.29335,7.2639,1.60985,475.6144,206.92195,8.9003,3540.82055,17.3482,188.5916,2.27855,64.61985,7.29155,2121.40875,3907.64725,147.1873,3594.55035,1714.1116,8.5026,490.22905,3410.1915,34.2812,2.7957,1.6591,3.66965,33.48425,1.68015,313.20955,4.98095,15.49845,737.46315,2.2439,14.5848,4.16145,12.25305,3.33535,1.64335,1469.09785,128.3961,2.9731,1.3669,1.3973,3.83375,10.72585,1.7835,1.6781,136.7746,183.12585,4.3537,1.2664,1.3199,3.87395,10.35975,1.83475,1.68825,22.178,1.49845,88.99715,98.71995877
6,2023-11-30 14-20-00,31.24275,16.07205,8.5424,16.4317,1.47505,1.5239,2.2325,2.0689,1.4829,3193.585,1283.34525,589.3399,13.2645,1.7388,1.66875,2.2466,2.236,1.5981,2245.58775,3473.87775,3033.2425,34.3804,1.64415,1.65055,16.4716,7.1917,1.59185,469.24545,202.63895,8.89335,3531.0296,17.04975,188.4112,2.23095,64.62815,7.37295,2095.48275,3900.10955,145.92555,3592.04705,1699.06425,8.2874,483.19295,3380.92805,32.78775,2.7837,1.7008,3.3505,32.1866,1.76255,308.34305,5.1459,14.59935,729.48325,2.3153,14.518,4.16645,11.25735,3.3064,1.6637,1457.65705,127.5836,3.104,1.2963,1.27075,3.8105,10.4596,1.90615,1.64185,136.9886,182.2571,3.81375,1.2593,1.5563,3.63325,10.18925,1.97355,1.67395,22.11905,1.7559,89.10315,100
7,2023-11-30 14-21-00,29.2896,15.85045,8.6228,16.26725,1.48405,1.5008,2.23215,2.04545,1.4883,3111.3075,1286.68915,580.2927,14.10675,1.68635,1.6863,2.1828,2.10475,1.57345,2163.2035,3464.9308,3035.005,33.91655,1.61685,1.6693,16.14735,7.00925,1.55115,457.12935,194.6903,8.82685,3541.45805,16.75475,185.12365,2.2068,62.7495,6.80645,2046.16215,3893.8187,144.8069,3582.7374,1676.96685,7.97995,480.4583,3361.4405,33.87765,2.74045,1.8727,3.87245,32.676,1.73125,304.67965,4.8077,14.7254,721.68775,2.1993,14.3954,4.3127,11.732,3.1689,1.66915,1450.9349,126.6032,2.9692,1.3273,1.3966,3.77945,10.45615,1.9208,1.6864,136.83045,182.8057,3.8039,1.23755,1.67125,3.72315,10.2722,1.89035,1.67675,22.3851,1.7923,88.6,101.3172768
8,2023-11-30 14-22-00,28.92825,15.522,8.9256,16.5235,1.4642,1.51455,2.147,2.06925,1.491,3034.01175,1283.15785,579.0333,13.85345,1.7388,1.6746,2.2856,2.2217,1.58395,2115.60235,3470.0058,3032.79245,33.37675,1.53875,1.6453,15.94235,6.9799,1.5645,458.45755,194.00345,8.7929,3531.60465,16.92005,185.81305,2.36495,63.7231,6.9026,2023.83075,3895.9094,143.8966,3593.4439,1669.21335,8.22685,476.5474,3341.18325,32.7408,2.7115,2.36135,3.5997,32.59205,1.58915,302.2271,4.69695,14.43885,714.57825,2.195,14.09505,4.5903,11.97545,2.9946,1.59345,1443.5629,125.91325,2.87595,1.24535,1.6276,3.4912,10.58975,1.58,1.64575,136.3534,181.308,3.79895,1.30465,1.7376,3.7099,10.76295,1.7409,1.65155,22.01435,1.50915,88.18195,102.5785066
